model,temperature,cap_uc,run_index,outcome,n_calls_made,total_input_tokens,total_output_tokens,actual_spent_uc,pre_flight_estimate_uc,error_msg
claude-sonnet-4-5-20250929,0.0,11000,0,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,0.0,11000,1,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,0.0,11000,2,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,0.0,11000,3,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,0.0,11000,4,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,0.0,11000,5,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,0.0,11000,6,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,0.0,11000,7,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,0.0,11000,8,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,0.0,11000,9,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,0.3,11000,0,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,0.3,11000,1,mid_loop_fired,1,77,113,1926.0,12204.0,
claude-sonnet-4-5-20250929,0.3,11000,2,mid_loop_fired,1,77,118,2001.0,12318.0,
claude-sonnet-4-5-20250929,0.3,11000,3,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,0.3,11000,4,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,0.3,11000,5,mid_loop_fired,1,77,113,1926.0,12192.0,
claude-sonnet-4-5-20250929,0.3,11000,6,mid_loop_fired,1,77,132,2211.0,12528.0,
claude-sonnet-4-5-20250929,0.3,11000,7,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,0.3,11000,8,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,0.3,11000,9,mid_loop_fired,1,77,115,1956.0,12234.0,
claude-sonnet-4-5-20250929,0.7,11000,0,mid_loop_fired,1,77,113,1926.0,12060.0,
claude-sonnet-4-5-20250929,0.7,11000,1,mid_loop_fired,1,77,118,2001.0,12330.0,
claude-sonnet-4-5-20250929,0.7,11000,2,mid_loop_fired,1,77,126,2121.0,12384.0,
claude-sonnet-4-5-20250929,0.7,11000,3,mid_loop_fired,1,77,110,1881.0,12150.0,
claude-sonnet-4-5-20250929,0.7,11000,4,mid_loop_fired,1,77,113,1926.0,12204.0,
claude-sonnet-4-5-20250929,0.7,11000,5,mid_loop_fired,1,77,118,2001.0,12336.0,
claude-sonnet-4-5-20250929,0.7,11000,6,mid_loop_fired,1,77,124,2091.0,12378.0,
claude-sonnet-4-5-20250929,0.7,11000,7,mid_loop_fired,1,77,130,2181.0,12486.0,
claude-sonnet-4-5-20250929,0.7,11000,8,mid_loop_fired,1,77,114,1941.0,12138.0,
claude-sonnet-4-5-20250929,0.7,11000,9,mid_loop_fired,1,77,103,1776.0,11982.0,
claude-sonnet-4-5-20250929,1.0,11000,0,mid_loop_fired,1,77,88,1551.0,11796.0,
claude-sonnet-4-5-20250929,1.0,11000,1,mid_loop_fired,1,77,104,1791.0,12102.0,
claude-sonnet-4-5-20250929,1.0,11000,2,mid_loop_fired,1,77,121,2046.0,12534.0,
claude-sonnet-4-5-20250929,1.0,11000,3,mid_loop_fired,1,77,120,2031.0,12312.0,
claude-sonnet-4-5-20250929,1.0,11000,4,mid_loop_fired,1,77,76,1371.0,11580.0,
claude-sonnet-4-5-20250929,1.0,11000,5,mid_loop_fired,1,77,105,1806.0,12006.0,
claude-sonnet-4-5-20250929,1.0,11000,6,mid_loop_fired,1,77,98,1701.0,11934.0,
claude-sonnet-4-5-20250929,1.0,11000,7,mid_loop_fired,1,77,88,1551.0,11814.0,
claude-sonnet-4-5-20250929,1.0,11000,8,mid_loop_fired,1,77,100,1731.0,11802.0,
claude-sonnet-4-5-20250929,1.0,11000,9,mid_loop_fired,1,77,100,1731.0,11676.0,
