provider,model,temperature,run_index,outcome,call_index,input_tokens,output_tokens,cost_uc,cumulative_uc
anthropic,claude-haiku-4-5-20251001,0.0,0,completed,0,689,89,1134.0000,1134.0000
anthropic,claude-haiku-4-5-20251001,0.0,0,completed,1,841,174,1711.0000,2845.0000
anthropic,claude-haiku-4-5-20251001,0.0,0,completed,2,1262,81,1667.0000,4512.0000
anthropic,claude-haiku-4-5-20251001,0.0,0,completed,3,1402,168,2242.0000,6754.0000
anthropic,claude-haiku-4-5-20251001,0.0,0,completed,4,1817,166,2647.0000,9401.0000
anthropic,claude-haiku-4-5-20251001,0.0,1,completed,0,689,89,1134.0000,1134.0000
anthropic,claude-haiku-4-5-20251001,0.0,1,completed,1,841,174,1711.0000,2845.0000
anthropic,claude-haiku-4-5-20251001,0.0,1,completed,2,1262,86,1692.0000,4537.0000
anthropic,claude-haiku-4-5-20251001,0.0,1,completed,3,1407,164,2227.0000,6764.0000
anthropic,claude-haiku-4-5-20251001,0.0,1,completed,4,1814,206,2844.0000,9608.0000
anthropic,claude-haiku-4-5-20251001,0.0,2,completed,0,689,89,1134.0000,1134.0000
anthropic,claude-haiku-4-5-20251001,0.0,2,completed,1,841,174,1711.0000,2845.0000
anthropic,claude-haiku-4-5-20251001,0.0,2,completed,2,1262,86,1692.0000,4537.0000
anthropic,claude-haiku-4-5-20251001,0.0,2,completed,3,1407,164,2227.0000,6764.0000
anthropic,claude-haiku-4-5-20251001,0.0,2,completed,4,1814,206,2844.0000,9608.0000
anthropic,claude-haiku-4-5-20251001,0.0,3,completed,0,689,89,1134.0000,1134.0000
anthropic,claude-haiku-4-5-20251001,0.0,3,completed,1,841,174,1711.0000,2845.0000
anthropic,claude-haiku-4-5-20251001,0.0,3,completed,2,1262,86,1692.0000,4537.0000
anthropic,claude-haiku-4-5-20251001,0.0,3,completed,3,1407,164,2227.0000,6764.0000
anthropic,claude-haiku-4-5-20251001,0.0,3,completed,4,1814,206,2844.0000,9608.0000
anthropic,claude-haiku-4-5-20251001,0.0,4,completed,0,689,89,1134.0000,1134.0000
anthropic,claude-haiku-4-5-20251001,0.0,4,completed,1,841,174,1711.0000,2845.0000
anthropic,claude-haiku-4-5-20251001,0.0,4,completed,2,1262,86,1692.0000,4537.0000
anthropic,claude-haiku-4-5-20251001,0.0,4,completed,3,1407,164,2227.0000,6764.0000
anthropic,claude-haiku-4-5-20251001,0.0,4,completed,4,1814,206,2844.0000,9608.0000
