run_index,outcome,call_index,input_tokens,output_tokens,cost_uc,cumulative_uc
0,recursion_limit_hit,0,160,18,34.80,34.80
0,recursion_limit_hit,1,231,110,100.65,135.45
0,recursion_limit_hit,2,590,20,100.50,235.95
0,recursion_limit_hit,3,665,75,144.75,380.70
0,recursion_limit_hit,4,896,20,146.40,527.10
0,recursion_limit_hit,5,971,74,190.05,717.15
0,recursion_limit_hit,6,1200,18,190.80,907.95
0,recursion_limit_hit,7,1271,73,234.45,1142.40
0,recursion_limit_hit,8,1498,20,236.70,1379.10
0,recursion_limit_hit,9,1573,75,280.95,1660.05
0,recursion_limit_hit,10,1804,19,282.00,1942.05
0,recursion_limit_hit,11,1877,76,327.15,2269.20
0,recursion_limit_hit,12,2110,20,328.50,2597.70
1,recursion_limit_hit,0,160,18,34.80,34.80
1,recursion_limit_hit,1,231,112,101.85,136.65
1,recursion_limit_hit,2,594,110,155.10,291.75
1,recursion_limit_hit,3,953,112,210.15,501.90
1,recursion_limit_hit,4,1316,112,264.60,766.50
1,recursion_limit_hit,5,1679,116,321.45,1087.95
1,recursion_limit_hit,6,2050,117,377.70,1465.65
1,recursion_limit_hit,7,2423,115,432.45,1898.10
1,recursion_limit_hit,8,2792,125,493.80,2391.90
1,recursion_limit_hit,9,3181,118,547.95,2939.85
1,recursion_limit_hit,10,3556,117,603.60,3543.45
1,recursion_limit_hit,11,3929,18,600.15,4143.60
1,recursion_limit_hit,12,4000,88,652.80,4796.40
2,recursion_limit_hit,0,160,18,34.80,34.80
2,recursion_limit_hit,1,231,18,45.45,80.25
2,recursion_limit_hit,2,302,16,54.90,135.15
2,recursion_limit_hit,3,369,17,65.55,200.70
2,recursion_limit_hit,4,438,21,78.30,279.00
2,recursion_limit_hit,5,515,18,88.05,367.05
2,recursion_limit_hit,6,586,18,98.70,465.75
2,recursion_limit_hit,7,657,18,109.35,575.10
2,recursion_limit_hit,8,728,20,121.20,696.30
2,recursion_limit_hit,9,803,19,131.85,828.15
2,recursion_limit_hit,10,876,20,143.40,971.55
2,recursion_limit_hit,11,951,20,154.65,1126.20
2,recursion_limit_hit,12,1026,18,164.70,1290.90
3,recursion_limit_hit,0,160,18,34.80,34.80
3,recursion_limit_hit,1,231,20,46.65,81.45
3,recursion_limit_hit,2,306,19,57.30,138.75
3,recursion_limit_hit,3,379,18,67.65,206.40
3,recursion_limit_hit,4,450,18,78.30,284.70
3,recursion_limit_hit,5,521,18,88.95,373.65
3,recursion_limit_hit,6,592,20,100.80,474.45
3,recursion_limit_hit,7,667,20,112.05,586.50
3,recursion_limit_hit,8,742,20,123.30,709.80
3,recursion_limit_hit,9,817,20,134.55,844.35
3,recursion_limit_hit,10,892,18,144.60,988.95
3,recursion_limit_hit,11,963,20,156.45,1145.40
3,recursion_limit_hit,12,1038,19,167.10,1312.50
4,completed,0,160,18,34.80,34.80
4,completed,1,231,16,44.25,79.05
4,completed,2,298,17,54.90,133.95
4,completed,3,367,15,64.05,198.00
4,completed,4,432,20,76.80,274.80
4,completed,5,507,19,87.45,362.25
4,completed,6,580,19,98.40,460.65
4,completed,7,653,19,109.35,570.00
4,completed,8,726,19,120.30,690.30
4,completed,9,799,18,130.65,820.95
4,completed,10,870,18,141.30,962.25
4,completed,11,941,77,187.35,1149.60
